,el_ss,el_sl,hc_cc,hc_st,li_st,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.032680000000006,0.0,1314.6689787148919,278.0195,3065.7230568350274,851.1736823356529,0.0,72526.30840011923
57,-4.732214620162234e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.562480000000036,226.1774430772239,1284.4962011473676,278.0195,6488.654367101891,1837.712326228444,1619.4477640466391,63206.871332749775
58,-7.034373084025007e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58971999999997,4564.162370348094,1283.7736346227475,278.0195,8764.454361633632,2485.9326938331205,1619.4477640466391,57592.40054530213
59,0.0,0.0,0.0,0.0,0.0,5029.498735381414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.65660999999998,5999.110860055198,1304.9147636093073,278.0195,8647.975327740927,2392.209936591089,1403.7172728510877,50695.693060701065
60,0.0,0.0,0.0,0.0,0.0,17003.976702778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2394.3646,17.703499999999988,5999.110860055198,1272.2985795078564,278.0195,6962.9647768433915,1895.3598085086355,1403.7172728510877,40430.91779495803
61,0.0,0.0,33.0,2436.6666666666665,440.6221164172002,20852.347428571422,51.59,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2394.3646,17.735939999999975,5999.110860055198,1273.1232179212154,278.0195,4600.862519924778,1230.4119394214224,1619.4477640466391,35834.08998576397
62,0.0,0.0,144.7,7326.846666666666,5207.333333333333,21215.047428571423,79.59,0.0,1385.8874556974038,0.0,0.0,0.0,46.0,25.5,2394.3646,17.612059999999968,5999.110860055198,1273.6123380313436,278.0195,1853.708197095524,457.63434409121896,1403.7172728510877,26133.299918411783
63,0.0,3909.296043050365,144.7,8526.056166478034,5207.333333333333,21215.047428571423,79.59,0.0,1873.8,0.0,0.0,0.0,46.0,25.5,2394.3646,17.56502999999995,5999.110860055198,1281.4020537176245,278.0195,109.59514533168304,19.22002029859229,2931.5805240297827,20743.25054663754
64,0.0,7687.844441949639,144.7,8507.466666666667,5207.333333333333,21215.047428571423,79.59,0.0,1873.8,0.0,0.0,0.0,46.0,25.5,2394.3646,17.678779999999996,5999.110860055198,1277.4371426469306,278.0195,0.0,0.0,1527.8632511786955,20357.35437230768
65,210.61033299999974,9452.2,144.7,9021.466666666667,7048.000649362409,21215.047428571423,79.59,921.0,2274.902,0.0,0.0,0.0,46.0,25.5,2394.3646,17.37661,5999.110860055198,1270.6134568032,278.0195,0.0,0.0,1312.1327599831434,17698.355408660227
66,210.61033299999974,9452.2,144.7,10160.306666666667,7513.583333333332,21215.047428571423,79.59,921.0,4141.991933511905,0.0,0.0,0.0,46.0,25.5,2394.3646,17.191050000000033,5999.110860055198,1263.7447550603,278.0195,0.0,0.0,0.0,15372.497731297852
67,147.42723310000025,9452.2,144.7,9021.466666666667,5207.333333333333,21215.047428571423,79.59,0.0,1873.8,0.0,0.0,0.0,46.0,25.5,2394.3646,17.30251000000002,5999.110860055198,1262.718858439994,278.0195,0.0,0.0,0.0,19477.767512564427
68,0.0,0.0,144.7,4745.431616120962,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,17.82768999999997,5999.110860055198,1296.6690684794744,278.0195,0.0,0.0,1403.7172728510877,29285.464884611967
69,0.0,0.0,0.0,0.0,0.0,5750.673026779637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.58975000000001,5999.110860055198,1283.4295481192564,278.0195,0.0,0.0,1403.7172728510877,54039.934010735145
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.639380000000006,461.11838847837294,1279.2941027528352,278.0195,0.0,0.0,1403.7172728510877,66977.70487166263
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69450.65501593967
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67075.07025901142
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63686.503951086816
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60658.173184597814
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58655.30438549223
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58600.016209932845
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60076.0222763246
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64550.488293887625
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71084.93290499633
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881.0468996765803,853.2955636089526,0.0,78138.95932145981
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6028.670983109781,1721.2054337547631,0.0,78566.30144475227
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8730.793488311823,2024.7403387243573,0.0,72804.04765726239
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9860.221800146686,2676.780251958623,0.0,79020.9880886518
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6336.957157863106,960.4892945104924,0.0,76436.08529378597
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.37406012252,1693.615118019906,0.0,78684.22305410262
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.3485109993592,398.2368873508403,0.0,78146.53713610575
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.01497926533192,0.0,131.1362828953227,22.864225211951887,0.0,77376.68680186411
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11852,0.0,1372.3792745086294,278.0195,0.0,0.0,530.1248994090238,76766.8332256351
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99961999999999,0.0,1340.234554673312,278.0195,0.0,0.0,2791.9663440250115,77088.24828044914
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.182919999999967,0.0,1378.8487352893965,278.0195,0.0,0.0,2577.842772942455,76850.27139472576
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00449000000004,0.0,1361.8847384654885,278.0195,0.0,0.0,1600.9938199268095,75507.85211222482
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8896559472897,0.0,0.0,0.0,0.0,73738.6602281956
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.46697999999998,0.0,1332.6244713515582,278.0195,0.0,0.0,863.8018325305555,69662.17099767819
94,0.0,0.0,0.0,0.0,0.0,2977.2803472456617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,18.253929999999983,5999.110860055198,1308.378214673707,278.0195,0.0,0.0,1619.4477640466391,57815.497946067226
95,0.0,0.0,0.0,0.0,0.0,4473.507218431787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.693970000000046,5999.110860055198,1270.4202618285244,278.0195,0.0,0.0,1619.4477640466391,48606.764466829336
96,0.0,0.0,0.0,0.0,0.0,13223.63950952813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2394.3646,17.676599999999972,5999.110860055198,1288.6842861426005,278.0195,0.0,0.0,1619.4477640466391,33900.37181327867
97,0.0,0.0,0.0,603.9449375187924,0.0,20852.347428571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2394.3646,17.580159999999964,5999.110860055198,1268.8265128418234,278.0195,0.0,0.0,1403.7172728510877,23001.693474556392
98,40.19670409999888,1593.8548189107073,144.7,6126.346666666666,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,17.476079999999953,5999.110860055198,1246.241937054884,278.0195,0.0,0.0,1403.7172728510877,12053.541847998406
99,50.352800600000094,6760.972251468831,144.7,6126.346666666666,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,17.594979999999964,5999.110860055198,1264.6161011840416,278.0195,0.0,0.0,1403.7172728510877,6807.435103478856
100,11.549111999999974,6083.892016627639,144.7,7078.517596872182,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,17.81037999999998,5999.110860055198,1280.241758554712,278.0195,0.0,0.0,2715.850032834231,6312.989869991129
101,70.986195,7694.4353918522975,144.7,7326.846666666666,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,17.966440000000038,5999.110860055198,1294.7829218302334,278.0195,0.0,0.0,2715.850032834231,6974.61017865865
102,188.0705544000011,8368.386006140528,144.7,6126.346666666666,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,18.268270000000022,5999.110860055198,1314.3277414398656,278.0195,0.0008503336191562973,0.00024919645669149726,2715.850032834231,11502.29854460884
103,207.49253299999972,9452.2,144.7,7298.292375372799,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,18.419330000000013,5999.110860055198,1285.2030903792304,278.0195,112.14427284473952,32.072624015201114,2715.850032834231,15909.59225861075
104,0.0,0.0,144.7,3435.2880401813018,2042.6666666666665,21215.047428571423,79.59,0.0,0.0,0.0,0.0,0.0,46.0,25.5,2394.3646,18.488419999999987,5999.110860055198,1317.6448139551055,278.0195,808.6443530493617,237.42033631920327,1619.4477640466391,33719.17526054632
