,el_ss,el_sl,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
1921,0.0,0.0,20531.629812360734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,23.986970000000078,7499.0033044436295,1786.0709759475494,278.0195,0.0,0.0,4802.1509109139115,16032.968076562234
1922,0.0,0.0,15678.239246361978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.044039999999967,7499.0033044436295,1815.1061470367447,278.0195,0.0,0.0,3569.91281828688,20308.063186528292
1923,0.0,0.0,9740.673237983854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.016860000000033,7499.0033044436295,1777.203170092429,278.0195,0.0,0.0,3744.881345403504,24220.95706500957
1924,0.0,0.0,7186.830565369171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.2646,23.868039999999986,7499.0033044436295,1747.2442632184077,278.0195,0.0019733875060294467,0.0011702287146425762,3673.647116265234,27202.546687334965
1925,0.0,0.0,6860.513013020955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.2646,24.061210000000077,7499.0033044436295,1795.32594208793,278.0195,657.0445122606826,215.32902366312686,3568.2739764385265,31753.28205180577
1926,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.6985940544509,24.224569999999925,7499.0033044436295,1823.833434363092,278.0195,4272.094500562204,1277.9156166234034,3936.360152652487,41655.5143189284
1927,0.0,0.0,7908.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.2646,24.516919999999985,7499.0033044436295,1853.164880479339,278.0195,9754.152584910837,2990.2442958838105,3624.5703852704255,48465.82241276953
1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.507109999999948,5769.5490610377165,1843.9284336952442,278.0195,15965.50674963413,5102.388632175968,3594.621827976968,60679.34839747653
1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.425459999999948,0.0,1821.8137747541448,278.0195,20987.26633119695,6812.921732776545,3128.1810911443536,68231.08136329813
1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.6879538365897,0.0,22806.280458908983,7198.778088791951,0.0,71561.57835307566
1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22353.86019571065,6099.6347122694115,0.0,75313.74283785235
1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20886.711538705797,4708.312880286398,0.0,77611.84187623956
1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.663060000000073,1508.3555493372385,1801.327724966914,278.0195,16457.638749948685,4526.401450784346,2682.623079426669,76301.6449852279
1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.824099999999927,3900.7346843634455,1815.068034040468,278.0195,10934.624192260862,3317.3771518137264,2615.774285099337,72221.74485979615
1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48471000000003,7499.0033044436295,1804.7554786521116,278.0195,6128.167573259217,1997.1511138407488,2351.11728545036,60563.679736262624
1936,0.0,0.0,24377.54830363915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.23939000000001,7499.0033044436295,1771.63244221045,278.0195,2310.2648172721324,723.2294880521112,2311.6886201886223,33678.97383388996
1937,147.42723310000017,0.0,25580.601642857142,83.88999999999999,921.0,8535.762204941213,0.0,0.0,0.0,46.0,25.5,2394.3646,24.74968999999993,7499.0033044436295,1809.4972729067545,278.0195,159.41063523998233,35.96828343568686,1462.7820755209355,23978.114655924666
1938,210.6103329999998,0.0,25580.601642857142,83.88999999999999,921.0,8972.626019198526,0.0,0.0,0.0,46.0,25.5,2394.3646,24.940399999999986,7499.0033044436295,1821.4218661451175,278.0195,0.0,0.0,1589.7755629178039,25252.17134583441
1939,210.6103329999998,0.0,25580.601642857142,83.88999999999999,1547.7428571428575,11910.480394755616,0.0,0.0,0.0,46.0,25.5,2394.3646,24.995010000000054,7499.0033044436295,1804.4644285279408,278.0195,0.0,0.0,2297.761300262181,24760.694006872003
1940,0.0,0.0,25580.601642857142,83.88999999999999,921.0,5845.142914187852,0.0,0.0,0.0,46.0,25.5,2394.3646,24.663060000000073,7499.0033044436295,1793.740086194356,278.0195,0.0,0.0,2498.086625222616,25918.826578448763
