;bm_st;hy_rs;wi_on;wi_off;so_ro;nu;li_st;hc_cc;ng_cc;hc_st;ng_ce;ng_gt;ng_st;so_op;hy_rr
177;4520;1477;1027;4000;466;8164;15266;12201;12832;0;0;0;0;0;0
178;4520;1440;1129;3639;1196;8162;15293;12178;12829;0;0;0;0;0;0
179;4517;1472;1069;3478;1787;8156;15279;11739;12857;0;0;0;0;0;0
180;4556;1478;958;3352;1968;8154;15277;11718;12885;0;0;0;0;0;0
181;4585;1374;917;3304;1787;8154;15295;11759;12722;0;0;0;0;0;0
182;4599;1292;1022;3166;1235;8155;15274;11717;12541;0;0;0;0;0;0
183;4619;1415;1105;3187;528;8155;15250;11686;12510;0;0;0;0;0;0
184;4629;1366;1186;3396;51;8152;15260;11697;12905;0;0;0;0;0;0
185;4620;1464;1260;3898;0;8150;15292;11648;12947;0;0;0;0;0;0
186;4613;1340;1088;4218;0;8151;15285;11738;12953;0;0;0;0;0;0
187;4610;1352;860;4277;0;8152;15264;11711;12972;0;0;0;0;0;0
188;4618;1337;621;4236;0;8155;14942;11427;12187;0;0;0;0;0;0
189;4618;1359;688;4147;0;8159;14625;11102;11608;0;0;0;0;0;0
190;4610;1379;626;4002;0;8161;14555;11083;11098;0;0;0;0;0;0
191;4607;1385;623;3932;0;8153;14050;9494;10694;0;0;0;0;0;0
192;4602;1356;544;3845;0;8136;13814;8306;9585;0;0;0;0;0;0
193;4592;1337;511;3796;0;8143;13510;8130;9449;0;0;0;0;0;0
194;4583;1322;434;3786;0;8143;13447;8235;9401;0;0;0;0;0;0
195;4564;1300;381;3851;0;8138;13374;8427;9434;0;0;0;0;0;0
196;4537;1286;329;3855;0;8152;13455;8342;9447;0;0;0;0;0;0
197;4516;1271;373;3726;0;8149;13762;8188;9385;0;0;0;0;0;0
198;4506;1288;231;3635;0;8147;14122;8297;9456;0;0;0;0;0;0
199;4525;1240;234;3276;1;8153;14507;9353;9705;0;0;0;0;0;0
200;4535;1237;342;2938;121;8160;14901;10279;10480;0;0;0;0;0;0
201;4524;1212;361;2577;703;8154;15140;10522;10495;0;0;0;0;0;0
202;4535;1218;349;2148;1891;8163;15189;10594;10503;0;0;0;0;0;0
203;4549;1202;255;1818;2988;8156;15254;10619;10468;0;0;0;0;0;0
204;4560;1215;236;1613;3413;8155;15277;10663;10486;0;0;0;0;0;0
205;4577;1220;173;1665;3050;8161;15307;10587;10505;0;0;0;0;0;0
206;4586;1250;160;1585;2150;8161;15294;10551;10478;0;0;0;0;0;0
207;4598;1255;123;1557;921;8165;15310;10680;10597;0;0;0;0;0;0
208;4611;1324;145;1548;90;8168;15272;10820;10593;0;0;0;0;0;0
209;4607;1429;151;1612;0;8142;15215;10858;10562;0;0;0;0;0;0
210;4612;1317;178;1723;0;8136;14922;10954;10624;0;0;0;0;0;0
211;4621;1290;183;1634;0;8134;14774;11265;10676;0;0;0;0;0;0
212;4629;1262;232;1682;0;8022;14601;10965;10722;0;0;0;0;0;0
213;4635;1233;281;1723;0;7814;14446;10207;10788;0;0;0;0;0;0
214;4626;1253;552;1577;0;7672;13808;9975;10690;0;0;0;0;0;0
215;4620;1271;827;1554;0;7572;13442;9002;10475;0;0;0;0;0;0
216;4607;1272;1288;1689;0;7668;13586;7775;9135;0;0;0;0;0;0
217;4588;1222;1663;1815;0;7872;13335;6770;8597;0;0;0;0;0;0
218;4571;1245;2098;2097;0;7927;13223;6563;8027;0;0;0;0;0;0
219;4563;1168;2566;2136;0;7933;13284;6336;7920;0;0;0;0;0;0
220;4557;1141;3127;2241;0;7934;13353;6410;7658;0;0;0;0;0;0
221;4542;1154;3406;2355;0;7924;13409;6369;7777;0;0;0;0;0;0
222;4527;1154;3662;2760;0;7928;13276;6306;7683;0;0;0;0;0;0
223;4539;1250;3743;3274;1;7930;13408;6511;8046;0;0;0;0;0;0
224;4559;1219;4031;3820;154;7926;13474;6971;8346;0;0;0;0;0;0
225;4556;1211;4126;4464;1237;7928;13565;7644;8572;0;0;0;0;0;0
226;4573;1254;4393;5179;3038;7928;13566;7640;8655;0;0;0;0;0;0
227;4582;1170;4571;5689;4792;7926;13578;7683;8591;0;0;0;0;0;0
228;4596;1190;4900;6019;6049;7916;13456;7526;8420;0;0;0;0;0;0
229;4609;1176;5040;6492;6212;7910;13397;7026;8305;0;0;0;0;0;0
230;4625;1256;4854;7098;4669;7913;13472;6874;8226;0;0;0;0;0;0
231;4632;1200;4336;8172;2125;7920;13896;6921;8532;0;0;0;0;0;0
232;4633;1192;3552;9738;227;7917;14198;7186;8756;0;0;0;0;0;0
233;4635;1168;3540;11337;0;7926;14470;7220;9036;0;0;0;0;0;0
234;4646;1141;2987;12153;0;8093;14592;7117;8812;0;0;0;0;0;0
235;4664;1209;2650;12656;0;8138;14491;6973;8684;0;0;0;0;0;0
236;4651;1137;2300;12990;0;8139;14396;6960;8409;0;0;0;0;0;0
237;4624;1148;2254;12628;0;8143;14270;6516;8112;0;0;0;0;0;0
238;4582;1139;2400;12033;0;8144;14260;6289;7998;0;0;0;0;0;0
239;4587;1116;2878;12321;0;8025;13956;5258;6896;0;0;0;0;0;0
240;4588;1148;3859;12247;0;7842;13723;4774;6264;0;0;0;0;0;0
241;4553;1119;5633;12639;0;7812;13655;4717;5849;0;0;0;0;0;0
242;4537;1092;6193;13161;0;7815;13217;4707;5787;0;0;0;0;0;0
243;4516;1076;6228;13937;0;7836;13041;4799;5575;0;0;0;0;0;0
244;4494;1110;6246;14850;0;7832;12809;5062;6249;0;0;0;0;0;0
245;4497;1117;6299;15724;0;7842;13513;5676;6441;0;0;0;0;0;0
246;4494;1167;5926;17288;0;7844;14122;6444;7857;0;0;0;0;0;0
247;4510;1194;5549;18689;1;7852;14347;6669;8497;0;0;0;0;0;0
248;4523;1278;5532;19680;193;7855;14428;7122;8646;0;0;0;0;0;0
249;4530;1180;5219;20350;1436;7854;14375;7507;8777;0;0;0;0;0;0
250;4537;1316;5148;20565;3115;7853;14346;7620;8699;0;0;0;0;0;0
251;4533;1189;5182;21002;4198;7763;14313;7940;8759;0;0;0;0;0;0
252;4549;1288;4943;21893;4308;7666;14474;7924;8702;0;0;0;0;0;0
253;4564;1129;4734;22910;3988;7635;14627;7914;8469;0;0;0;0;0;0
254;4553;1185;4734;23588;2990;7632;14443;8046;8435;0;0;0;0;0;0
255;4582;1177;4736;24878;1246;7636;14283;8151;8536;0;0;0;0;0;0
256;4587;1176;4466;26585;161;7558;14020;8213;8673;0;0;0;0;0;0
257;4602;1231;4251;28183;0;7525;13665;8399;8834;0;0;0;0;0;0
258;4607;1229;4250;29473;0;7516;13115;8107;8783;0;0;0;0;0;0
259;4609;1136;3810;30605;0;7518;12688;7307;8590;0;0;0;0;0;0
260;4601;1190;3788;31865;0;7461;11894;6673;7220;0;0;0;0;0;0
261;4577;1175;3786;32782;0;7459;9820;5742;6255;0;0;0;0;0;0
262;4573;1172;3977;32233;0;7442;8836;5359;5727;0;0;0;0;0;0
263;4555;1158;4064;33120;0;7394;7766;5126;5644;0;0;0;0;0;0
264;4535;1144;4712;33609;0;7439;6689;4916;4897;0;0;0;0;0;0
265;4521;1117;4636;33991;0;7355;6458;4719;5122;0;0;0;0;0;0
266;4530;1112;3705;33207;0;7473;6397;4780;5108;0;0;0;0;0;0
267;4529;1119;3605;31913;0;7450;6429;4862;5139;0;0;0;0;0;0
268;4511;1146;3239;30376;0;7337;7167;5177;5136;0;0;0;0;0;0
269;4520;1118;3082;29364;0;7213;8646;5929;5453;0;0;0;0;0;0
270;4510;1110;3194;27960;0;7341;11104;7011;6404;0;0;0;0;0;0
271;4516;1174;3864;25276;1;7573;11959;7519;8461;0;0;0;0;0;0
272;4515;1245;4091;23201;107;7663;12181;8001;9014;0;0;0;0;0;0
273;4525;1188;4587;21562;454;7736;12562;7998;8880;0;0;0;0;0;0
274;4530;1269;5380;20231;1196;7916;12796;8039;8945;0;0;0;0;0;0
275;4550;1373;5734;19340;1992;7983;13363;8041;9251;0;0;0;0;0;0
276;4550;1224;6058;19885;2521;7968;13587;8105;8934;0;0;0;0;0;0
277;4587;1173;5981;21436;2548;7954;13902;7931;8303;0;0;0;0;0;0
278;4577;1179;5954;21426;1917;7958;14166;7843;8193;0;0;0;0;0;0
279;4584;1176;5967;21192;893;7961;14344;8136;8597;0;0;0;0;0;0
280;4587;1196;6048;21807;86;7962;14556;8251;8893;0;0;0;0;0;0
281;4579;1219;6211;22148;0;7924;14403;8121;9080;0;0;0;0;0;0
282;4617;1210;5985;23371;0;7702;14046;7485;8936;0;0;0;0;0;0
283;4617;1199;6160;23698;0;7587;13949;7236;8445;0;0;0;0;0;0
284;4589;1169;5901;24282;0;7578;13347;7300;7122;0;0;0;0;0;0
285;4584;1158;5711;24647;0;7538;12693;6652;6826;0;0;0;0;0;0
286;4582;1176;5973;23676;0;7554;12153;6332;6472;0;0;0;0;0;0
287;4575;1177;6166;23450;0;7539;11027;5780;6155;0;0;0;0;0;0
288;4586;1212;6214;23445;0;7556;10554;4942;5366;0;0;0;0;0;0
289;4565;1226;6169;23162;0;7568;10003;4759;5010;0;0;0;0;0;0
290;4570;1190;6220;23549;0;7563;9958;4719;4821;0;0;0;0;0;0
291;4555;1215;6203;24271;0;7572;9930;4804;4926;0;0;0;0;0;0
292;4537;1220;6077;24696;0;7567;10341;5218;5053;0;0;0;0;0;0
293;4526;1190;6243;24955;0;7570;11492;5809;5358;0;0;0;0;0;0
294;4524;1217;6031;25819;0;7627;13217;6421;5915;0;0;0;0;0;0
295;4554;1240;6369;26641;1;7565;13553;6439;6397;0;0;0;0;0;0
296;4551;1249;6513;26924;183;7583;13544;7060;6385;0;0;0;0;0;0
297;4551;1245;6534;27389;1440;7563;13518;7045;6362;0;0;0;0;0;0
298;4553;1229;6468;28860;3134;7551;13383;6911;6304;0;0;0;0;0;0
299;4563;1225;6409;30406;4421;7565;13019;6433;6207;0;0;0;0;0;0
300;4570;1228;6265;31645;4981;7552;12530;6235;6241;0;0;0;0;0;0
301;4573;1249;6240;32863;4592;7543;12144;6093;6182;0;0;0;0;0;0
302;4567;1256;6175;33705;3260;7548;11805;6151;6459;0;0;0;0;0;0
303;4590;1253;5724;33875;1334;7550;11681;6398;6588;0;0;0;0;0;0
304;4607;1270;5430;34417;125;7542;11726;6636;6875;0;0;0;0;0;0
305;4608;1281;5247;34047;0;7542;12028;6355;7042;0;0;0;0;0;0
306;4610;1250;5085;33009;0;7548;11815;5762;6990;0;0;0;0;0;0
307;4620;1243;5204;31828;0;7538;11564;5885;7033;0;0;0;0;0;0
308;4614;1243;5297;30772;0;7549;10984;6051;7045;0;0;0;0;0;0
309;4626;1246;4902;29774;0;7546;10551;6098;6937;0;0;0;0;0;0
310;4615;1261;5188;28394;0;7531;10636;6121;6457;0;0;0;0;0;0
311;4585;1271;5928;28564;0;7519;10003;6280;5829;0;0;0;0;0;0
312;4558;1298;6244;28465;0;7357;8759;5584;4961;0;0;0;0;0;0
313;4541;1296;5673;28405;0;7500;9058;4936;4631;0;0;0;0;0;0
314;4546;1314;5529;26875;0;7796;9447;4595;4629;0;0;0;0;0;0
315;4520;1313;5831;24688;0;7977;10151;5087;4486;0;0;0;0;0;0
316;4533;1316;5102;22169;0;8059;11675;6208;5270;0;0;0;0;0;0
317;4531;1343;4596;19697;0;8138;13626;7268;6226;0;0;0;0;0;0
318;4520;1411;4173;16869;0;8139;15051;8628;8252;0;0;0;0;0;0
319;4549;1402;3526;14029;2;8165;15681;10000;10656;0;0;0;0;0;0
320;4533;1418;2789;11110;108;8164;15888;10152;11319;0;0;0;0;0;0
321;4530;1362;2483;8811;695;8173;16006;10589;11832;0;0;0;0;0;0
322;4528;1354;2200;7098;1573;8180;15932;10638;12007;0;0;0;0;0;0
323;4526;1351;1922;5983;2318;8176;15425;10665;11999;0;0;0;0;0;0
324;4529;1385;1518;5214;2668;8172;15560;10660;11950;0;0;0;0;0;0
325;4560;1375;1260;4561;2475;8173;15829;10587;11892;0;0;0;0;0;0
326;4575;1381;1166;4140;1713;8182;16074;10573;11986;0;0;0;0;0;0
327;4572;1385;1129;4091;731;8188;16103;10719;12404;0;0;0;0;0;0
328;4588;1403;1268;4521;71;8192;16073;10719;12848;0;0;0;0;0;0
329;4592;1479;1593;5328;0;8190;16060;10513;12833;0;0;0;0;0;0
330;4597;1516;1600;5876;0;8186;16117;10357;12872;0;0;0;0;0;0
331;4603;1524;1307;5730;0;8186;15977;10343;12883;0;0;0;0;0;0
332;4603;1400;1037;5847;0;8185;15856;10188;11846;0;0;0;0;0;0
333;4581;1414;812;6267;0;8181;15794;9665;10827;0;0;0;0;0;0
334;4581;1384;682;6416;0;8179;15567;8918;10432;0;0;0;0;0;0
335;4560;1376;743;6567;0;8178;15587;7688;9846;0;0;0;0;0;0
336;4541;1434;790;6889;0;8174;15376;7209;9199;0;0;0;0;0;0
337;4535;1438;694;7170;0;8174;15199;6996;9213;0;0;0;0;0;0
338;4543;1419;985;7082;0;8163;15090;6850;8895;0;0;0;0;0;0
339;4524;1401;1315;7102;0;8164;15062;6938;8854;0;0;0;0;0;0
340;4508;1335;1529;6962;0;8176;15182;7102;8572;0;0;0;0;0;0
341;4497;1338;2330;7047;0;8164;15094;8303;9889;0;0;0;0;0;0
